school_id,term_code,term_name,subject,course_number,crn,section_number,title,days,start_time,end_time,building,room,instructor,source_url,match,note
temple,202203,2022 Spring (View Only),CHEM,9996,2003,016,Master's Thesis Research,none,,,,,Susan A. Jansen Varnum,https://prd-xereg.temple.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202203&startDatepicker=&endDatepicker=&uniqueSessionId=dge9541caf0ae1&pageOffset=1500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
utrgv,202720,Spring 2027 (View Only),PHTH,8310,73790,A,Mgmt Patients w Chronic Disord,F,0830,1200,Harlingen Health Affairs Bldg,1.105,,https://assist.utrgv.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202720&startDatepicker=&endDatepicker=&uniqueSessionId=dgec0a857d29e3&pageOffset=4000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
neu,202610,Fall 2025 Semester (View Only),HSCI,5255,16417,01,Tools and Techniques of Environmental Health,TF,1525,1705,Shillman Hall,325,,https://nubanner.neu.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202610&startDatepicker=&endDatepicker=&uniqueSessionId=dg55366982670f&pageOffset=4000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
temple,202536,2025 Fall,CHEM,1034,3783,006,General Chemistry Laboratory II,T,1100,1350,Beury Hall,00109,John B. Michel,https://prd-xereg.temple.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202536&startDatepicker=&endDatepicker=&uniqueSessionId=dg764a749c1ac7&pageOffset=1500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
ucr,202520,Spring 2025 (View Only),MGT,227,69924,001,FIXED-INCOME SECURITIES AND MARKETS,S,0900,1150,School of Business Building,260,"De La Torre, Antonio",https://registrationssb.ucr.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202520&startDatepicker=&endDatepicker=&uniqueSessionId=dg60222836d0ac&pageOffset=6500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
cofc,202230,2022 Summer (View Only),MTLA,601,30997,01,"Class, Race, and Gender in Education",MR,1000,1145,ONLINE COURSE,,Will McCorkle,https://ssb.cofc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202230&startDatepicker=&endDatepicker=&uniqueSessionId=dgba9f1365cbb2&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
utrgv,202710,Fall 2026,NURS,4301,40031,12,Adult Health II Clinical,S,0645,1615,Hospital,1,Marco A. Pena,https://assist.utrgv.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202710&startDatepicker=&endDatepicker=&uniqueSessionId=dgcab1345e2fc5&pageOffset=4500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
okstate,202520,Spring 2025 (View Only),PHYS,1114,23860,0,College Physics I (LN),W,1030,1220,Physical Science,041,"Javed, Umar",https://studentregistrationssb.okstate.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202520&startDatepicker=&endDatepicker=&uniqueSessionId=dg195894acc43f&pageOffset=6500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc&mepCode=OSU,,
fhda,202541,2025 Spring Foothill (View Only),MATH,F010.,40619,08W,ELEMENTARY STATISTICS,none,,,Foothill Online,ONLINE,"Munoz, Sarah",https://reg.oci.fhda.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202541&startDatepicker=&endDatepicker=&uniqueSessionId=dg088857011dc6&pageOffset=500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
okstate,202340,Summer 2023 (View Only),VCS,7532,42587,0,Applied Diagnostic Medicine and Laboratory Investigations III,none,,,,,"Cino Ozuna, Giselle Cino",https://studentregistrationssb.okstate.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202340&startDatepicker=&endDatepicker=&uniqueSessionId=dg25731baadb76&pageOffset=3000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc&mepCode=OSU,,
ou,202610,Fall 2026,CH E,5523,52229,001,Advanced Mathematical Methods in Science and Engineering,TR,1200,1315,Sarkeys Energy Ctr,E0111,Dimitrios Papavassiliou,https://sis.ou.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202610&startDatepicker=&endDatepicker=&uniqueSessionId=dgb4a2d22e1b43&pageOffset=2000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
ucr,202410,Winter 2024 (View Only),POSC,166,53222,022,JUDICIAL POLITICS AND POLICY MAKING,R,0700,0750,Gordon Watkins Hall,2141,"Muttram, Harry",https://registrationssb.ucr.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202410&startDatepicker=&endDatepicker=&uniqueSessionId=dg36d05bdb2ffc&pageOffset=9000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
okstate,202140,Summer 2021 (View Only),MSIS,5303,43557,0,Prescriptive Analytics,none,,,Web/Internet Course,,"Wilson, Rick",https://studentregistrationssb.okstate.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202140&startDatepicker=&endDatepicker=&uniqueSessionId=dg39ba5c6fdb20&pageOffset=1500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc&mepCode=OSU,,
usf,202101,Spring 2021 (View Only),CIS,4900,21516,031,Ind Study in Computer Science,none,,,,,"Rosen, P.",https://studentssb9.it.usf.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202101&startDatepicker=&endDatepicker=&uniqueSessionId=dgc19098682ee6&pageOffset=2000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
uncw,202320,Spring 2023 (View Only),PAR,101,21683,803,Invitation to Philosophical Thinking,none,,,Online-Extension,,"Schmid, Walter",https://registration.uncw.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202320&startDatepicker=&endDatepicker=&uniqueSessionId=dga547b0fd8960&pageOffset=2500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
gsu,202301,Spring Semester 2023 (View Only),MATH,2420,14158,016,DISCRETE MATHEMATICS,MW,1000,1115,Classroom & Office (E),0190,"Walls, Barrett  .",https://registration.gosolar.gsu.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202301&startDatepicker=&endDatepicker=&uniqueSessionId=dgaea98b8490a3&pageOffset=7000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
ucr,202620,Spring 2026 (View Only),MATH,006B,60175,002,PRECALCULUS: AN INTRODUCTION TO FUNCTIONS 2,W,0800,0850,CHASS Interdisciplinary-South,1132,"Nguyen, Cynthia",https://registrationssb.ucr.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202620&startDatepicker=&endDatepicker=&uniqueSessionId=dg9b8cf3ec09f8&pageOffset=6500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
usf,202508,Fall 2025 (View Only),MAT,4970,97837,001,Mathematics Senior Thesis,none,,,,,"Jonoska, N.",https://studentssb9.it.usf.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202508&startDatepicker=&endDatepicker=&uniqueSessionId=dgf32dac4fd454&pageOffset=5000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
